vserver,status,OS,DB,cluster,vhost,DataCenter,vcpu,memory,disk-size,organization,service-id,service-name
sysa21208,運用中,Linux V6 (SL),-,OSK5F-C15B,awsef320134,東京２,4,16,470,法人サービス事業部,BSD1818,サービス26
sysa21209,運用中,Linux V6 (SL),-,OSK5F-C15A,awsef320133,東京２,1,2,70,法人サービス事業部,BSD1392,サービス27
sysa21210,運用中,Linux V6 (SL),-,OSK5F-C15B,awsef320134,東京２,1,2,70,法人サービス事業部,BSD1392,サービス28
sysa21211,運用中,Linux V6 (SL),-,OSK5F-C15A,awsef320133,東京２,2,4,70,法人サービス事業部,BSD1818,サービス29
sysa21212,運用中,Linux V6 (SL),-,OSK5F-C15B,awsef320134,東京２,2,4,70,法人サービス事業部,BSD1818,サービス30
sysa21213,運用中,Linux V6 (SL),-,OSK5F-C16A,awsef320129,東京２,1,2,50,ＩＴシステム本部,BSD1358,サービス31
sysa21214,運用中,Linux V6 (SL),-,OSK5F-C16B,awsef320132,東京２,1,2,50,ＩＴシステム本部,BSD1358,サービス32
sysa21215,運用中,Linux V6 (SL),-,OSK5F-C16A,awsef320129,東京２,1,1,30,ＩＴシステム本部,BSD1358,サービス33
sysa21216,運用中,Linux V6 (SL),-,OSK5F-C16B,awsef320130,東京２,2,2,80,ＩＴシステム本部,SYS0252,サービス34
sysa21217,運用中,Linux V6 (SL),-,OSK5F-C16A,awsef320129,東京２,2,2,80,ＩＴシステム本部,SYS0252,サービス35
sysa21218,運用中,RedHat EL5 ES (64),Oracle,OSK5F-B6B,awsds219016,東京２,10,72,390,ＩＴシステム本部,BSD1152,サービス36
sysa21219,運用中,RedHat EL5 ES (64),Oracle,OSK5F-B6A,awsds219015,東京２,10,72,390,ＩＴシステム本部,BSD1152,サービス37
sysa21220,ＳＥ構築中,Linux V6 (SL),-,vmcloud902,awsef310124,東京２,2,2,70,ＩＴシステム本部,SYS0116,サービス38
sysa21221,ＳＥ構築中,Linux V6 (SL),-,vmcloud901,awsef310123,東京２,2,2,70,ＩＴシステム本部,SYS0116,サービス39
sysa21222,ＳＥ構築中,Linux V6 (SL),-,vmcloud902,awsef310124,東京２,2,8,90,ＩＴシステム本部,SYS0250,サービス40
sysa21223,ＳＥ構築中,Linux V6 (SL),-,vmcloud901,awsef310123,東京２,2,8,90,ＩＴシステム本部,SYS0250,サービス41
sysa21224,運用中,Linux V6 (SL),-,OSK5F-C16B,awsef320132,東京２,2,4,170,ＩＴシステム本部,SYS0116,サービス42
sysa21237,運用中,Linux V6 (SL),-,OSK5F-C16A,awsef320129,東京２,4,8,220,ＩＴシステム本部,SYS0116,サービス43
sysa21249,運用中,Linux V6 (SL),MySQL,OSK5F-C16A,awsef320131,東京２,2,4,850,ＩＴシステム本部,BSD1772,サービス44
sysa21272,ＳＥ構築中,Linux V6 (SL),-,OSK5F-C16B,awsef320132,東京２,1,2,40,システム基盤本部,SYS1070,サービス45
sysa21273,運用中,Linux V6 (SL),-,OSK5F-C16A,awsef320129,東京２,1,2,40,システム基盤本部,STD1086,サービス46
sysa21274,運用中,Linux V6 (SL),-,OSK5F-C16B,awsef320128,東京２,1,2,40,システム基盤本部,STD1086,サービス47
sysa21275,運用中,Linux V6 (SL),-,OSK5F-C16A,awsef320129,東京２,2,2,60,システム基盤本部,SYS1101,サービス48
sysa21276,運用中,Linux V6 (SL),-,OSK5F-C16B,awsef320128,東京２,2,2,60,システム基盤本部,SYS1101,サービス49
sysa21277,運用中,Linux V6 (SL),-,OSK5F-C16A,awsef320129,東京２,2,2,50,システム基盤本部,SYS1101,サービス50
sysa21278,運用中,Linux V6 (SL),-,OSK5F-C16B,awsef320130,東京２,2,2,50,システム基盤本部,SYS1101,サービス51
sysa21279,運用中,Linux V6 (SL),-,OSK5F-C16A,awsef320129,東京２,2,2,50,システム基盤本部,SYS1101,サービス52
sysa21280,運用中,Linux V6 (SL),-,OSK5F-C16B,awsef320128,東京２,2,2,50,システム基盤本部,SYS1101,サービス53
sysa21283,運用中,Linux V6 (SL),MySQL,OSK5F-C16A,awsef320131,東京２,2,16,180,システム基盤本部,SYS1101,サービス54
sysa21285,運用中,Linux V6 (SL),-,OSK5F-C16A,awsef320129,東京２,1,2,50,ＩＴシステム本部,SYS3028,サービス55
sysa21286,運用中,Linux V6 (SL),-,OSK5F-C16B,awsef320128,東京２,1,2,50,ＩＴシステム本部,SYS3028,サービス56
sysa21287,運用中,Linux V6 (SL),-,OSK5F-C16A,awsef320131,東京２,1,2,40,システム基盤本部,STD1086,サービス57
sysa21288,運用中,Linux V6 (SL),-,OSK5F-C16B,awsef320132,東京２,1,2,40,システム基盤本部,STD1086,サービス58
sysa21292,運用中,Windows 2008 Server,-,OSK5F-C16B,awsef320128,東京２,4,16,160,カスタマサービス本部,BSD1599,サービス59
sysa25071,運用中,Linux V6 (SL),-,vmcloud901,awsef310121,東京２,1,2,40,システム基盤本部,STD1086,サービス60
sysa25079,運用中,Linux V6 (SL),-,vmcloud901,awsef310121,東京２,1,2,40,ＩＴシステム本部,SYS1023,サービス61
sysa25115,運用中,Linux V6 (SL),-,vmcloud901,awsef310121,東京２,1,2,40,システム基盤本部,STD1086,サービス62
sysa25116,運用中,Linux V6 (SL),-,vmcloud902,awsef310122,東京２,1,2,40,システム基盤本部,STD1086,サービス63
sysa25121,運用中,Linux V6 (SL),-,vmcloud901,awsef310121,東京２,1,2,30,ＩＴシステム本部,SYS1023,サービス64
sysa25122,運用中,Linux V6 (SL),-,vmcloud902,awsef310122,東京２,1,2,30,ＩＴシステム本部,SYS1023,サービス65
sysa25123,運用中,Linux V6 (SL),-,vmcloud901,awsef310121,東京２,1,2,30,ＩＴシステム本部,SYS1023,サービス66
sysa25124,運用中,Linux V6 (SL),-,vmcloud902,awsef310122,東京２,1,2,30,ＩＴシステム本部,SYS1023,サービス67
sysa25130,運用中,Linux V6 (SL),-,OSK5F-C16B,awsef320130,東京２,2,4,50,システム基盤本部,SYS0245,サービス68
sysa25131,運用中,Linux V6 (SL),-,OSK5F-C16A,awsef320127,東京２,2,4,50,システム基盤本部,SYS0245,サービス69
sysa25132,運用中,Linux V6 (SL),-,vmcloud902,awsef310122,東京２,4,4,50,システム基盤本部,SYS1025,サービス70
sysa25133,運用中,Linux V6 (SL),-,vmcloud901,awsef310123,東京２,4,4,50,システム基盤本部,SYS1025,サービス71
sysa25134,運用中,Linux V6 (SL),-,vmcloud902,awsef310122,東京２,4,4,50,システム基盤本部,SYS1025,サービス72
sysa25135,運用中,Linux V6 (SL),-,vmcloud901,awsef310121,東京２,4,4,50,システム基盤本部,SYS1025,サービス73
sysa25136,運用中,Linux V6 (SL),-,vmcloud902,awsef310122,東京２,4,4,50,システム基盤本部,SYS1025,サービス74
sysa25140,運用中,Linux V6 (SL),-,OSK5F-C16B,awsef320130,東京２,4,8,160,システム基盤本部,SYS1187,サービス75
sysa25141,運用中,Linux V6 (SL),-,OSK5F-C16A,awsef320127,東京２,4,8,160,システム基盤本部,SYS1187,サービス76
sysa25142,運用中,Linux V6 (SL),-,OSK5F-C16B,awsef320130,東京２,4,8,160,システム基盤本部,SYS1187,サービス77
sysa25143,運用中,Linux V6 (SL),-,OSK5F-C16A,awsef320127,東京２,4,8,160,システム基盤本部,SYS1187,サービス78
sysa25144,運用中,Linux V6 (SL),-,OSK5F-C16B,awsef320130,東京２,4,8,160,システム基盤本部,SYS1187,サービス79
sysa25145,運用中,Linux V6 (SL),-,OSK5F-C16A,awsef320129,東京２,2,4,50,システム基盤本部,SYS0245,サービス80
sysa25146,運用中,Linux V6 (SL),-,OSK5F-C16B,awsef320130,東京２,2,4,50,システム基盤本部,SYS0245,サービス81
sysa25147,運用中,Linux V6 (SL),-,OSK5F-C16A,awsef320127,東京２,2,4,50,システム基盤本部,SYS0245,サービス82
sysa25148,運用中,Linux V6 (SL),-,OSK5F-C16B,awsef320130,東京２,2,4,50,システム基盤本部,SYS0245,サービス83
sysa25149,運用中,Linux V6 (SL),-,OSK5F-C16A,awsef320127,東京２,1,2,440,システム基盤本部,STD0071,サービス84
sysa25150,運用中,Linux V6 (SL),-,OSK5F-C16B,awsef320132,東京２,1,2,440,システム基盤本部,STD0071,サービス85
sysa25151,運用中,Linux V6 (SL),-,OSK5F-C16A,awsef320131,東京２,1,2,230,システム基盤本部,STD0071,サービス86
sysa25152,運用中,Linux V6 (SL),-,OSK5F-C16B,awsef320132,東京２,1,2,230,システム基盤本部,STD0071,サービス87
sysa25153,運用中,Linux V6 (SL),-,OSK5F-C16A,awsef320131,東京２,1,2,230,システム基盤本部,STD0071,サービス88
sysa25154,運用中,Linux V6 (SL),-,OSK5F-C16B,awsef320132,東京２,1,2,230,システム基盤本部,STD0071,サービス89
sysa25155,運用中,Linux V6 (SL),-,OSK5F-C16A,awsef320129,東京２,1,2,40,システム基盤本部,STD1086,サービス90
sysa25156,運用中,Linux V6 (SL),-,OSK5F-C16B,awsef320130,東京２,1,2,40,システム基盤本部,STD1086,サービス91
sysa25157,運用中,Linux V6 (SL),-,OSK5F-C16A,awsef320129,東京２,2,4,50,システム基盤本部,SYS1025,サービス92
sysa25158,運用中,Linux V6 (SL),-,OSK5F-C16B,awsef320130,東京２,2,4,50,システム基盤本部,SYS1025,サービス93
sysa25159,運用中,Linux V6 (SL),-,OSK5F-C16A,awsef320129,東京２,2,4,50,システム基盤本部,SYS1025,サービス94
sysa25160,運用中,Linux V6 (SL),-,OSK5F-C16B,awsef320130,東京２,2,4,70,システム基盤本部,SYS1025,サービス95
sysa25163,運用中,Linux V6 (RHEL),-,OSK5F-C16A,awsef320129,東京２,1,2,50,システム基盤本部,SYS0186,サービス96
sysa25164,運用中,Linux V6 (RHEL),-,OSK5F-C16B,awsef320128,東京２,1,2,50,システム基盤本部,SYS0186,サービス97
sysa25165,ＳＥ構築中,Linux V6 (SL),-,OSK5F-C16A,awsef320129,東京２,1,2,50,システム基盤本部,SYS0186,サービス98
sysa25166,運用中,Linux V6 (SL),-,OSK5F-C16B,awsef320128,東京２,2,4,50,システム基盤本部,SYS0166,サービス99
sysa25167,運用中,Linux V6 (SL),-,OSK5F-C16A,awsef320127,東京２,2,4,50,システム基盤本部,SYS0166,サービス100
sysa25169,運用中,Linux V6 (SL),-,OSK5F-C16A,awsef320129,東京２,1,2,30,法人サービス事業部,BSD1478,サービス101
sysa25170,運用中,Linux V6 (SL),-,OSK5F-C16B,awsef320128,東京２,1,2,30,法人サービス事業部,BSD1478,サービス102
sysa25175,運用中,Linux V6 (SL),-,OSK5F-C16A,awsef320127,東京２,2,4,50,システム基盤本部,SYS1025,サービス103
sysa25176,運用中,Linux V6 (SL),-,OSK5F-C16B,awsef320128,東京２,2,4,50,システム基盤本部,SYS1025,サービス104
sysa25177,運用中,Linux V6 (SL),-,OSK5F-C16A,awsef320129,東京２,2,4,50,システム基盤本部,SYS1025,サービス105
sysa25178,運用中,Linux V6 (SL),-,OSK5F-C16B,awsef320130,東京２,2,4,50,システム基盤本部,SYS1025,サービス106
sysa25179,運用中,Linux V6 (SL),-,OSK5F-C16A,awsef320131,東京２,2,4,50,システム基盤本部,SYS1025,サービス107
sysa25180,運用中,Linux V6 (SL),-,OSK5F-C16B,awsef320132,東京２,2,4,50,システム基盤本部,SYS1025,サービス108
sysa25181,運用中,Linux V6 (SL),-,OSK5F-C16A,awsef320131,東京２,2,4,50,システム基盤本部,SYS1025,サービス109
sysa25182,運用中,Linux V6 (SL),-,OSK5F-C16B,awsef320132,東京２,2,4,50,システム基盤本部,SYS1025,サービス110
sysa25183,運用中,Linux V6 (SL),-,OSK5F-C16A,awsef320131,東京２,2,4,50,システム基盤本部,SYS1025,サービス111
sysa25184,運用中,Linux V6 (SL),-,OSK5F-C16B,awsef320132,東京２,2,4,50,システム基盤本部,SYS0245,サービス112
sysa25185,運用中,Linux V6 (SL),-,OSK5F-C16A,awsef320131,東京２,1,2,40,システム基盤本部,SYS0186,サービス113
sysa25186,運用中,Linux V6 (SL),-,OSK5F-C16B,awsef320132,東京２,1,2,40,システム基盤本部,SYS0186,サービス114
sysa25187,ＳＥ構築中,Linux V6 (SL),-,OSK5F-C16A,awsef320129,東京２,1,2,40,システム基盤本部,SYS0186,サービス115
sysa25188,ＳＥ構築中,Linux V6 (SL),-,OSK5F-C16B,awsef320128,東京２,1,2,40,システム基盤本部,SYS0186,サービス116
sysa25191,運用中,Linux V6 (SL),-,OSK5F-C16A,awsef320129,東京２,2,4,40,システム基盤本部,SYS3044,サービス117
sysa25192,運用中,Linux V6 (SL),-,OSK5F-C16B,awsef320132,東京２,2,4,40,システム基盤本部,SYS3044,サービス118
sysa25195,運用中,Linux V6 (SL),-,vmcloud901,awsef310121,東京２,2,8,70,システム基盤本部,SYS1025,サービス119
sysa25196,運用中,Linux V6 (SL),-,vmcloud902,awsef310122,東京２,2,8,70,システム基盤本部,SYS1025,サービス120
sysa25197,運用中,Linux V6 (SL),-,vmcloud901,awsef310121,東京２,2,8,70,システム基盤本部,SYS1025,サービス121
sysa25198,運用中,Linux V6 (SL),-,vmcloud902,awsef310122,東京２,2,8,70,システム基盤本部,SYS1025,サービス122
sysa25199,運用中,Linux V6 (SL),-,vmcloud901,awsef310123,東京２,2,8,70,システム基盤本部,SYS1025,サービス123
sysa25200,運用中,Linux V6 (SL),-,vmcloud902,awsef310124,東京２,2,8,70,システム基盤本部,SYS1025,サービス124
sysa25201,運用中,Linux V6 (SL),-,vmcloud901,awsef310123,東京２,2,8,70,システム基盤本部,SYS1025,サービス125
sysa25202,運用中,Linux V6 (SL),-,vmcloud902,awsef310124,東京２,2,8,70,システム基盤本部,SYS1025,サービス126
sysa25211,ＳＥ構築中,Linux V6 (SL),-,vmcloud901,awsef310123,東京２,2,8,70,システム基盤本部,SYS1025,サービス127
sysa25212,ＳＥ構築中,Linux V6 (SL),-,vmcloud902,awsef310124,東京２,2,8,70,システム基盤本部,SYS1025,サービス128
sysa29181,運用中,Linux V6 (SL),-,vmcloud901,awsef310121,東京２,1,2,40,システム基盤本部,STD1086,サービス129
sysa29182,運用中,Linux V6 (SL),-,vmcloud902,awsef310122,東京２,1,2,40,システム基盤本部,STD1086,サービス130
sysa29189,運用中,Linux V6 (SL),-,OSK2F-C17A,awseb310127,東京２,2,4,60,システム基盤本部,SYS0125,サービス131
sysa29190,運用中,Linux V6 (SL),-,OSK2F-C17B,awseb310120,東京２,2,4,60,システム基盤本部,SYS0125,サービス132
sysa29191,運用中,Linux V6 (SL),MySQL,OSK2F-C17A,awseb310127,東京２,2,4,300,システム基盤本部,SYS0125,サービス133
sysa29192,運用中,Linux V6 (SL),MySQL,OSK2F-C17B,awseb310120,東京２,2,4,300,システム基盤本部,SYS0125,サービス134
sysa29193,運用中,Linux V6 (SL),-,vmcloud901,awsef310121,東京２,2,4,60,システム基盤本部,SYS0125,サービス135
sysa29194,運用中,Linux V6 (SL),-,vmcloud902,awsef310122,東京２,2,4,60,システム基盤本部,SYS0125,サービス136
sysa29195,運用中,Linux V6 (SL),MySQL,vmcloud901,awsef310123,東京２,2,4,300,システム基盤本部,SYS0125,サービス137
sysa29196,運用中,Linux V6 (SL),MySQL,vmcloud902,awsef310124,東京２,2,4,300,システム基盤本部,SYS0125,サービス138
sysa29197,運用中,Windows 2008 Server,-,OSK5F-B6A,awsds219009,東京２,2,8,120,システム基盤本部,SYS0247,サービス139
sysa29198,運用中,Windows 2008 Server,-,OSK5F-B6B,awsds219010,東京２,2,4,50,システム基盤本部,SYS0247,サービス140
sysa29199,運用中,Windows 2008 Server,-,OSK5F-B6A,awsds219009,東京２,2,4,60,システム基盤本部,SYS0247,サービス141
sysa29200,運用中,Windows 2008 Server,-,OSK5F-B6B,awsds219010,東京２,2,4,260,システム基盤本部,SYS0247,サービス142
sysa29204,ＳＥ構築中,Linux V6 (SL),-,vmcloud902,awsef310122,東京２,2,4,70,システム基盤本部,SYS1167,サービス143
sysa29206,ＳＥ構築中,Linux V6 (SL),-,vmcloud902,awsef310124,東京２,2,4,60,システム基盤本部,SYS1167,サービス144
sysa29208,運用中,Linux V6 (SL),-,OSK2F-C17B,awseb310128,東京２,2,4,70,システム基盤本部,SYS0125,サービス145
sysa29209,運用中,Linux V6 (SL),-,OSK2F-C17A,awseb310117,東京２,2,4,70,システム基盤本部,SYS0125,サービス146
sysa29210,運用中,Linux V6 (SL),-,OSK2F-C17B,awseb310120,東京２,2,4,70,システム基盤本部,SYS0125,サービス147
sysa29211,運用中,Linux V6 (SL),MySQL,OSK2F-C17A,awseb310117,東京２,1,2,70,システム基盤本部,SYS0125,サービス148
sysa29212,運用中,Linux V6 (SL),MySQL,OSK2F-C17B,awseb310128,東京２,1,2,70,システム基盤本部,SYS0125,サービス149
sysa29213,運用中,Linux V6 (SL),MySQL,OSK2F-C17A,awseb310119,東京２,1,2,70,システム基盤本部,SYS0125,サービス150
sysa29215,運用中,Linux V6 (SL),-,OSK2F-C17A,awseb310117,東京２,2,4,70,システム基盤本部,SYS0125,サービス151
sysa29216,運用中,Linux V6 (SL),-,OSK2F-C17B,awseb310128,東京２,2,4,70,システム基盤本部,SYS0125,サービス152
sysa29217,運用中,Linux V6 (SL),-,OSK2F-C17A,awseb310119,東京２,2,4,70,システム基盤本部,SYS0125,サービス153
sysa29218,運用中,Linux V6 (SL),-,OSK2F-C17B,awseb310120,東京２,2,4,70,システム基盤本部,SYS0125,サービス154
sysa29219,運用中,Linux V6 (SL),-,OSK2F-C17A,awseb310127,東京２,2,4,70,システム基盤本部,SYS0125,サービス155
sysa29221,運用中,Linux V6 (SL),MySQL,OSK2F-C17A,awseb310117,東京２,1,2,70,システム基盤本部,SYS0125,サービス156
sysa29222,運用中,Linux V6 (SL),MySQL,OSK2F-C17B,awseb310128,東京２,1,2,70,システム基盤本部,SYS0125,サービス157
sysa29223,運用中,Linux V6 (SL),MySQL,OSK2F-C17A,awseb310119,東京２,1,2,70,システム基盤本部,SYS0125,サービス158
sysa29224,運用中,Linux V6 (SL),MySQL,OSK2F-C17B,awseb310120,東京２,1,2,70,システム基盤本部,SYS0125,サービス159
sysa29225,運用中,Linux V6 (SL),MySQL,OSK2F-C17A,awseb310127,東京２,1,2,70,システム基盤本部,SYS0125,サービス160
sysa29226,ＳＥ構築中,Linux V6 (SL),-,OSK5F-C16B,awsef320128,東京２,1,2,80,システム基盤本部,SYS1112,サービス161
sysa29227,ＳＥ構築中,RedHat EL5 ES (64),Oracle,OSK5F-B6A,awsds219015,東京２,2,8,60,システム基盤本部,SYS0253,サービス162
sysa29228,ＳＥ構築中,RedHat EL5 ES (64),Oracle,OSK5F-B6B,awsds219016,東京２,2,8,60,システム基盤本部,SYS0253,サービス163
sysa29229,運用中,Linux V6 (SL),-,OSK2F-C17A,awseb310117,東京２,2,4,60,システム基盤本部,SYS0125,サービス164
sysa29230,運用中,Linux V6 (SL),-,OSK2F-C17B,awseb310128,東京２,2,4,60,システム基盤本部,SYS0125,サービス165
sysa29231,運用中,Linux V6 (SL),-,OSK2F-C17A,awseb310119,東京２,2,4,60,システム基盤本部,SYS0125,サービス166
sysa29232,運用中,Linux V6 (SL),-,OSK2F-C17B,awseb310118,東京２,2,4,60,システム基盤本部,SYS0125,サービス167
sysa29233,運用中,Linux V6 (SL),MySQL,OSK2F-C17A,awseb310117,東京２,2,4,300,システム基盤本部,SYS0125,サービス168
sysa29234,運用中,Linux V6 (SL),MySQL,OSK2F-C17B,awseb310128,東京２,2,4,300,システム基盤本部,SYS0125,サービス169
sysa29235,運用中,Linux V6 (SL),MySQL,OSK2F-C17A,awseb310119,東京２,2,4,300,システム基盤本部,SYS0125,サービス170
sysa29236,運用中,Linux V6 (SL),MySQL,OSK2F-C17B,awseb310118,東京２,2,4,300,システム基盤本部,SYS0125,サービス171
sysa29239,運用中,Linux V6 (SL),-,OSK2F-C17A,awseb310119,東京２,2,4,70,システム基盤本部,SYS1226,サービス172
sysa29240,運用中,Linux V6 (SL),-,OSK2F-C17B,awseb310128,東京２,2,4,70,システム基盤本部,SYS1226,サービス173
sysa29241,運用中,Linux V6 (SL),-,OSK2F-C17A,awseb310117,東京２,2,4,70,システム基盤本部,SYS1226,サービス174
sysa29242,運用中,Linux V6 (SL),-,OSK2F-C17B,awseb310128,東京２,2,4,70,システム基盤本部,SYS1226,サービス175
sysa29243,運用中,Linux V6 (SL),-,OSK2F-C17A,awseb310119,東京２,2,4,70,システム基盤本部,SYS1226,サービス176
sysa29244,運用中,Linux V6 (SL),-,OSK2F-C17B,awseb310120,東京２,2,4,70,システム基盤本部,SYS1226,サービス177
sysa29245,運用中,Linux V6 (SL),-,OSK5F-B6A,awsds219009,東京２,1,2,40,システム基盤本部,SYS0247,サービス178
sysa29246,運用中,Linux V6 (SL),-,OSK2F-C17B,awseb310128,東京２,2,4,70,システム基盤本部,SYS1226,サービス179
sysa29247,運用中,Linux V6 (SL),-,OSK2F-C17A,awseb310119,東京２,2,4,70,システム基盤本部,SYS1226,サービス180
sysa29248,運用中,Linux V6 (SL),-,OSK2F-C17B,awseb310118,東京２,2,4,70,システム基盤本部,SYS1226,サービス181
sysa29253,運用中,Linux V6 (SL),-,OSK5F-C20A,awsef320135,東京２,1,2,50,システム基盤本部,SYS1163,サービス182
sysa29254,運用中,Linux V6 (SL),-,OSK5F-C20B,awsef320136,東京２,1,2,50,システム基盤本部,SYS1163,サービス183
sysa29255,ＳＥ構築中,Linux V6 (RHEL),-,OSK5F-C16A,awsef320129,東京２,4,12,200,システム基盤本部,SYS3019,サービス184
sysa29256,運用中,Linux V6 (SL),-,OSK5F-C20B,awsef320136,東京２,1,2,30,システム基盤本部,SYS0244,サービス185
sysa29257,運用中,Linux V6 (SL),-,OSK2F-C17A,awseb310117,東京２,2,4,90,システム基盤本部,SYS0125,サービス186
sysa29258,運用中,Linux V6 (SL),-,OSK2F-C17B,awseb310128,東京２,2,4,90,システム基盤本部,SYS0125,サービス187
sysa29259,運用中,Linux V6 (SL),-,OSK2F-C17A,awseb310119,東京２,2,4,90,システム基盤本部,SYS0125,サービス188
sysa29260,運用中,Linux V6 (SL),-,OSK2F-C17B,awseb310120,東京２,2,4,90,システム基盤本部,SYS0125,サービス189
sysa29261,運用中,Linux V6 (SL),-,OSK2F-C17A,awseb310127,東京２,2,4,90,システム基盤本部,SYS0125,サービス190
sysa29262,運用中,Linux V6 (SL),-,OSK2F-C17B,awseb310120,東京２,4,4,70,システム基盤本部,SYS0125,サービス191
sysa29263,運用中,Linux V6 (SL),-,OSK2F-C17A,awseb310127,東京２,4,4,70,システム基盤本部,SYS0125,サービス192
sysa29264,運用中,Linux V6 (SL),-,OSK2F-C17B,awseb310120,東京２,4,4,70,システム基盤本部,SYS0125,サービス193
sysa29265,運用中,Linux V6 (SL),-,OSK2F-C17A,awseb310127,東京２,4,4,70,システム基盤本部,SYS0125,サービス194
sysa29266,運用中,Linux V6 (RHEL),-,OSK5F-B6B,awsds219010,東京２,4,16,350,システム基盤本部,SYS0247,サービス195
sysa29267,運用中,Linux V6 (SL),-,OSK5F-C20A,awsef320135,東京２,1,2,30,システム基盤本部,SYS1163,サービス196
sysa29268,運用中,Linux V6 (SL),-,OSK5F-C20B,awsef320136,東京２,1,2,30,システム基盤本部,SYS1163,サービス197
sysa29269,運用中,Linux V6 (SL),-,OSK5F-C20A,awsef320135,東京２,2,2,230,システム基盤本部,SYS1052,サービス198
sysa29270,運用中,Linux V6 (SL),MySQL,OSK2F-C17B,awseb310118,東京２,1,2,70,システム基盤本部,SYS0125,サービス199
sysa29272,運用中,Linux V6 (SL),-,OSK2F-C17B,awseb310118,東京２,2,4,90,システム基盤本部,SYS0125,サービス200
sysa29273,運用中,Linux V6 (SL),-,OSK5F-C20A,awsef320135,東京２,1,2,30,システム基盤本部,SYS0110,サービス201
sysa29274,運用中,Linux V6 (SL),-,OSK5F-C20B,awsef320136,東京２,1,2,30,システム基盤本部,SYS0110,サービス202
sysa29275,運用中,Linux V6 (RHEL),-,OSK5F-C25A,awseb320125,東京２,4,16,500,システム基盤本部,SYS3019,サービス203
sysa29276,運用中,Windows 2008 Server,-,OSK5F-C23B,awseb320120,東京２,1,4,60,システム基盤本部,SYS1163,サービス204
sysa29277,ＳＥ構築中,Windows 2008 Server,-,OSK5F-C23A,awseb320119,東京２,1,4,60,システム基盤本部,SYS1163,サービス205
